"","Plate","Repeat","Type","Time","Label","Absorbance_all"
"120",2,1,"M","00:00:59.79","N57",0.021
"121",2,1,"M","00:01:00.67","M49",0.021
"122",2,1,"M","00:01:01.56","M49",0.022
"123",2,1,"M","00:01:02.45","M49",0.015
"124",2,1,"M","00:01:03.34","D54",0.016
"125",2,1,"M","00:01:04.23","D54",0.017
"126",2,1,"M","00:01:05.12","D54",0.019
"127",2,1,"M","00:01:06.01","T57",0.023
"128",2,1,"M","00:01:06.90","T57",0.019
"129",2,1,"M","00:01:07.79","T57",0.02
"130",2,1,"M","00:01:11.12","X45",0.026
"131",2,1,"M","00:01:12.01","X45",0.023
"132",2,1,"M","00:01:12.90","X45",0.015
"133",2,1,"M","00:01:13.78","N41",0.00700000000000001
"134",2,1,"M","00:01:14.67","N41",0.00600000000000001
"135",2,1,"M","00:01:15.56","N41",0.00800000000000001
"136",2,1,"M","00:01:16.45","X48",0.005
"137",2,1,"M","00:01:17.34","X48",0.003
"138",2,1,"M","00:01:18.23","X48",-0.001
"139",2,1,"M","00:01:19.12","M43",0.043
"140",2,1,"M","00:01:20.01","M43",0.052
"141",2,1,"M","00:01:20.90","M43",0.0580000000000001
"142",2,1,"M","00:01:24.23","X41",0.037
"143",2,1,"M","00:01:25.12","X41",0.038
"144",2,1,"M","00:01:26.01","X41",0.025
"145",2,1,"M","00:01:26.90","M46",0.018
"146",2,1,"M","00:01:27.78","M46",0.017
"147",2,1,"M","00:01:28.67","M46",0.017
"148",2,1,"M","00:01:29.56","N47",0.022
"149",2,1,"M","00:01:30.45","N47",0.029
"150",2,1,"M","00:01:31.34","N47",0.031
"151",2,1,"M","00:01:32.23","R62",0.027
"152",2,1,"M","00:01:33.12","R62",0.024
"153",2,1,"M","00:01:34.01","R62",0.023
"155",1,1,"M","00:00:19.36","N58",0.097
"156",1,1,"M","00:00:20.26","N58",0.095
"157",1,1,"M","00:00:21.15","N58",0.096
"158",1,1,"M","00:00:22.04","R53",0.159
"159",1,1,"M","00:00:22.93","R53",0.149
"160",1,1,"M","00:00:23.82","R53",0.166
"161",1,1,"M","00:00:24.71","R56",0.059
"162",1,1,"M","00:00:25.60","R56",0.058
"163",1,1,"M","00:00:26.49","R56",0.066
"164",1,1,"M","00:00:27.37","N48",0.074
"165",1,1,"M","00:00:28.26","N48",0.086
"166",1,1,"M","00:00:29.15","N48",0.086
"167",1,1,"M","00:00:32.49","N51",0.073
"168",1,1,"M","00:00:33.37","N51",0.063
"169",1,1,"M","00:00:34.26","N51",0.062
"170",1,1,"M","00:00:35.15","N54",0.097
"171",1,1,"M","00:00:36.04","N54",0.107
"172",1,1,"M","00:00:36.93","N54",0.102
"173",1,1,"M","00:00:37.82","R51",0.08
"174",1,1,"M","00:00:38.71","R51",0.082
"175",1,1,"M","00:00:39.60","R51",0.081
"176",1,1,"M","00:00:40.49","N56",0.098
"177",1,1,"M","00:00:41.37","N56",0.109
"178",1,1,"M","00:00:42.26","N56",0.108
"179",1,1,"M","00:00:45.60","R57",0.122
"180",1,1,"M","00:00:46.49","R57",0.122
"181",1,1,"M","00:00:47.37","R57",0.121
"182",1,1,"M","00:00:48.26","N53",0.129
"183",1,1,"M","00:00:49.15","N53",0.141
"184",1,1,"M","00:00:50.04","N53",0.129
"185",1,1,"M","00:00:50.93","N57",0.111
"186",1,1,"M","00:00:51.82","N57",0.107
"187",1,1,"M","00:00:52.71","N57",0.112
"188",1,1,"M","00:00:53.60","X46",0.161
"189",1,1,"M","00:00:54.49","X46",0.131
"190",1,1,"M","00:00:55.37","X46",0.101
"191",1,1,"M","00:00:58.71","N52",0.098
"192",1,1,"M","00:00:59.60","N52",0.113
"193",1,1,"M","00:01:00.49","N52",0.109
"194",1,1,"M","00:01:01.37","R54",0.085
"195",1,1,"M","00:01:02.26","R54",0.102
"196",1,1,"M","00:01:03.15","R54",0.101
"197",1,1,"M","00:01:04.04","R59",0.102
"198",1,1,"M","00:01:04.93","R59",0.101
"199",1,1,"M","00:01:05.82","R59",0.105
"200",1,1,"M","00:01:06.71","N50",0.099
"201",1,1,"M","00:01:07.60","N50",0.097
"202",1,1,"M","00:01:08.49","N50",0.097
"206",1,1,"M","00:01:14.48","R52",0.104
"207",1,1,"M","00:01:15.37","R52",0.082
"208",1,1,"M","00:01:16.26","R52",0.087
"209",1,1,"M","00:01:17.15","N55",0.081
"210",1,1,"M","00:01:18.04","N55",0.078
"211",1,1,"M","00:01:18.93","N55",0.077
"212",1,1,"M","00:01:19.82","M45",0.075
"213",1,1,"M","00:01:20.71","M45",0.074
"214",1,1,"M","00:01:21.60","M45",0.074
