"","Label","Plate.x","Repeat.x","Type.x","Time.x","Absorbance_all","Plate.y","Repeat.y","Well","Type.y","Time.y","A"
"66","M43",2,1,"M","00:01:20.90",0.0580000000000001,2,1,"F03","M","00:01:26.54",1.054
"67","M43",2,1,"M","00:01:19.12",0.043,2,1,"F02","M","00:01:25.65",1.072
"68","M43",2,1,"M","00:01:19.12",0.043,2,1,"F01","M","00:01:24.76",1.065
"69","M43",2,1,"M","00:01:19.12",0.043,2,1,"F03","M","00:01:26.54",1.054
"70","M43",2,1,"M","00:01:20.01",0.052,2,1,"F02","M","00:01:25.65",1.072
"71","M43",2,1,"M","00:01:20.01",0.052,2,1,"F01","M","00:01:24.76",1.065
"72","M43",2,1,"M","00:01:20.01",0.052,2,1,"F03","M","00:01:26.54",1.054
"73","M45",1,1,"M","00:01:19.82",0.075,3,1,"E10","M","00:01:19.45",1.04
"74","M45",1,1,"M","00:01:19.82",0.075,3,1,"E11","M","00:01:20.34",1.035
"75","M45",1,1,"M","00:01:19.82",0.075,3,1,"E12","M","00:01:21.23",1.168
"76","M45",1,1,"M","00:01:20.71",0.074,3,1,"E10","M","00:01:19.45",1.04
"77","M45",1,1,"M","00:01:20.71",0.074,3,1,"E11","M","00:01:20.34",1.035
"78","M45",1,1,"M","00:01:20.71",0.074,3,1,"E12","M","00:01:21.23",1.168
"79","M45",1,1,"M","00:01:21.60",0.074,3,1,"E10","M","00:01:19.45",1.04
"80","M45",1,1,"M","00:01:21.60",0.074,3,1,"E11","M","00:01:20.34",1.035
"81","M45",1,1,"M","00:01:21.60",0.074,3,1,"E12","M","00:01:21.23",1.168
"82","M46",2,1,"M","00:01:27.78",0.017,2,1,"F08","M","00:01:30.99",1.076
"83","M46",2,1,"M","00:01:27.78",0.017,2,1,"F07","M","00:01:30.10",0.922
"84","M46",2,1,"M","00:01:27.78",0.017,2,1,"F09","M","00:01:31.87",1.07
"85","M46",2,1,"M","00:01:28.67",0.017,2,1,"F08","M","00:01:30.99",1.076
"86","M46",2,1,"M","00:01:28.67",0.017,2,1,"F07","M","00:01:30.10",0.922
"87","M46",2,1,"M","00:01:28.67",0.017,2,1,"F09","M","00:01:31.87",1.07
"88","M46",2,1,"M","00:01:26.90",0.018,2,1,"F08","M","00:01:30.99",1.076
"89","M46",2,1,"M","00:01:26.90",0.018,2,1,"F07","M","00:01:30.10",0.922
"90","M46",2,1,"M","00:01:26.90",0.018,2,1,"F09","M","00:01:31.87",1.07
"91","M47",1,1,"M","00:01:25.65",0.013,1,1,"F03","M","00:01:26.52",1.172
"92","M47",1,1,"M","00:01:25.65",0.013,1,1,"F04","M","00:01:27.41",1.112
"93","M47",1,1,"M","00:01:25.65",0.013,1,1,"F05","M","00:01:28.30",1.088
"94","M47",1,1,"M","00:01:23.87",0.018,1,1,"F03","M","00:01:26.52",1.172
"95","M47",1,1,"M","00:01:23.87",0.018,1,1,"F04","M","00:01:27.41",1.112
"96","M47",1,1,"M","00:01:23.87",0.018,1,1,"F05","M","00:01:28.30",1.088
"97","M47",1,1,"M","00:01:24.76",0.014,1,1,"F03","M","00:01:26.52",1.172
"98","M47",1,1,"M","00:01:24.76",0.014,1,1,"F04","M","00:01:27.41",1.112
"99","M47",1,1,"M","00:01:24.76",0.014,1,1,"F05","M","00:01:28.30",1.088
"100","M48",2,1,"M","00:00:24.01",0.03,2,1,"A08","M","00:00:25.43",1.121
"101","M48",2,1,"M","00:00:24.01",0.03,2,1,"A09","M","00:00:26.32",1.055
"102","M48",2,1,"M","00:00:24.01",0.03,2,1,"A07","M","00:00:24.54",1.058
"103","M48",2,1,"M","00:00:24.90",0.031,2,1,"A08","M","00:00:25.43",1.121
"104","M48",2,1,"M","00:00:24.90",0.031,2,1,"A09","M","00:00:26.32",1.055
"105","M48",2,1,"M","00:00:24.90",0.031,2,1,"A07","M","00:00:24.54",1.058
"106","M48",2,1,"M","00:00:25.79",0.03,2,1,"A08","M","00:00:25.43",1.121
"107","M48",2,1,"M","00:00:25.79",0.03,2,1,"A09","M","00:00:26.32",1.055
"108","M48",2,1,"M","00:00:25.79",0.03,2,1,"A07","M","00:00:24.54",1.058
"109","M49",2,1,"M","00:01:01.56",0.022,2,1,"D07","M","00:01:03.88",0.978
"110","M49",2,1,"M","00:01:01.56",0.022,2,1,"D09","M","00:01:05.65",0.972
"111","M49",2,1,"M","00:01:01.56",0.022,2,1,"D08","M","00:01:04.76",0.957
"112","M49",2,1,"M","00:01:02.45",0.015,2,1,"D07","M","00:01:03.88",0.978
"113","M49",2,1,"M","00:01:02.45",0.015,2,1,"D09","M","00:01:05.65",0.972
"114","M49",2,1,"M","00:01:02.45",0.015,2,1,"D08","M","00:01:04.76",0.957
"115","M49",2,1,"M","00:01:00.67",0.021,2,1,"D07","M","00:01:03.88",0.978
"116","M49",2,1,"M","00:01:00.67",0.021,2,1,"D09","M","00:01:05.65",0.972
"117","M49",2,1,"M","00:01:00.67",0.021,2,1,"D08","M","00:01:04.76",0.957
"118","M89",1,1,"M","00:00:27.20",0.012,1,1,"B02","M","00:00:33.19",1.11
"119","M89",1,1,"M","00:00:27.20",0.012,1,1,"A12","M","00:00:28.96",1.174
"120","M89",1,1,"M","00:00:27.20",0.012,1,1,"B01","M","00:00:32.30",1.148
"121","M89",1,1,"M","00:00:26.31",0.014,1,1,"B02","M","00:00:33.19",1.11
"122","M89",1,1,"M","00:00:26.31",0.014,1,1,"A12","M","00:00:28.96",1.174
"123","M89",1,1,"M","00:00:26.31",0.014,1,1,"B01","M","00:00:32.30",1.148
"124","M89",1,1,"M","00:00:28.09",0.012,1,1,"B02","M","00:00:33.19",1.11
"125","M89",1,1,"M","00:00:28.09",0.012,1,1,"A12","M","00:00:28.96",1.174
"126","M89",1,1,"M","00:00:28.09",0.012,1,1,"B01","M","00:00:32.30",1.148
"127","M90",2,1,"M","00:00:34.45",0.023,2,1,"B09","M","00:00:39.43",1.25
"128","M90",2,1,"M","00:00:34.45",0.023,2,1,"B07","M","00:00:37.65",1.265
"129","M90",2,1,"M","00:00:34.45",0.023,2,1,"B08","M","00:00:38.54",1.203
"130","M90",2,1,"M","00:00:35.34",0.025,2,1,"B09","M","00:00:39.43",1.25
"131","M90",2,1,"M","00:00:35.34",0.025,2,1,"B07","M","00:00:37.65",1.265
"132","M90",2,1,"M","00:00:35.34",0.025,2,1,"B08","M","00:00:38.54",1.203
"133","M90",2,1,"M","00:00:36.23",0.025,2,1,"B09","M","00:00:39.43",1.25
"134","M90",2,1,"M","00:00:36.23",0.025,2,1,"B07","M","00:00:37.65",1.265
"135","M90",2,1,"M","00:00:36.23",0.025,2,1,"B08","M","00:00:38.54",1.203
"136","N41",2,1,"M","00:01:15.56",0.00800000000000001,2,1,"E09","M","00:01:18.76",0.982
