,ID,ploidy,tank,day,shell_length,shell_width,shell_height,sample_date,shell_volume,calc_dry_weight,trt,avg1,avg2,OD,nmol,BSA,protein,P,CS_activity,heat,desiccation,stress
1,D54,D,tank_5,1,83,60,29,7/12/21,75618,3.48432,D-control,0.148,0.1653,0.0173,2.772,0.9053,582.2667,0.0006,2.1159,control,no,control
2,D55,D,tank_5,1,96,39,28,7/12/21,54890,2.6552,D-control,0.1765,0.2437,0.0672,4.4165,1.0752,972.8833,0.001,2.0176,control,no,control
3,D56,D,tank_5,1,82,50,30,7/12/21,64403,3.03572,D-control,0.1432,0.1839,0.0407,3.542,0.8993,568.4667,0.0006,2.7692,control,no,control
4,D57,D,tank_5,1,87,55,27,7/12/21,67646,3.16544,D-control,0.24,0.2617,0.0217,2.915,1.0993,1028.4667,0.001,1.2597,control,no,control
5,D58,D,tank_5,1,81,65,23,7/12/21,63405,2.9958,D-control,0.1392,0.189,0.0498,3.8427,0.943,668.9,0.0007,2.5532,control,no,control
6,D59,D,tank_5,1,79,60,32,7/12/21,79419,3.63636,D-control,0.2108,0.2782,0.0673,4.422,1.078,979.4,0.001,2.0067,control,no,control
10,M45,D,tank_5,1,103,52,24,7/12/21,67305,3.1518,D-control,0.333,0.4073,0.0743,4.653,1.081,986.3,0.001,2.0967,control,no,control
11,M46,D,tank_5,1,92,46,29,7/12/21,64260,3.03,D-control,0.1984,0.224,0.0256,3.0448,1.0862,998.1833,0.001,1.3557,control,no,control
13,M48,D,tank_5,1,84,50,36,7/12/21,79168,3.62632,D-control,0.1717,0.202,0.0303,3.201,1.078,979.4,0.001,1.4526,control,no,control
14,M49,D,tank_5,1,81,54,30,7/12/21,68707,3.20788,D-control,0.1657,0.185,0.0193,2.838,0.969,728.7,0.0007,1.7309,control,no,control
15,M89,D,tank_5,1,82,47,29,7/12/21,58521,2.80044,D-control,0.1783,0.2045,0.0262,3.0635,1.1423,1127.3667,0.0011,1.2077,control,no,control
16,M90,D,tank_5,1,87,57,33,7/12/21,85685,3.887,D-control,0.211,0.2353,0.0243,3.003,1.2393,1350.4667,0.0014,0.9883,control,no,control
28,N48,D,tank_2,2,77,56,34,missing,76764,3.53016,D-desiccation,0.2873,0.3693,0.082,4.906,0.8653,490.2667,0.0005,4.4475,heat,yes,desiccation
47,N49,D,tank_2,2,82,52,29,7/13/21,64746,3.04944,D-desiccation,0.1412,0.1949,0.0537,3.971,0.8558,468.4167,0.0005,3.7678,heat,yes,desiccation
48,N50,D,tank_2,2,90,55,31,7/13/21,80346,3.67344,D-desiccation,0.3607,0.4583,0.0977,5.423,0.9693,729.4667,0.0007,3.3041,heat,yes,desiccation
49,N51,D,tank_2,2,91,55,32,7/13/21,83860,3.814,D-desiccation,0.2497,0.3157,0.066,4.378,0.9058,583.4167,0.0006,3.3351,heat,yes,desiccation
50,N52,D,tank_2,2,72,59,32,7/13/21,71176,3.30664,D-desiccation,0.328,0.4347,0.1067,5.72,0.985,765.5,0.0008,3.321,heat,yes,desiccation
51,N53,D,tank_2,2,80,56,28,7/13/21,65680,3.0868,D-desiccation,0.3897,0.5227,0.133,6.589,1.0553,927.2667,0.0009,3.1581,heat,yes,desiccation
52,N54,D,tank_2,2,103,56,37,7/13/21,111744,4.92936,D-desiccation,0.34,0.442,0.102,5.566,1.074,970.2,0.001,2.5498,heat,yes,desiccation
53,N55,D,tank_2,2,83,54,35,7/13/21,82137,3.74508,D-desiccation,0.329,0.4077,0.0787,4.796,1.1017,1033.8333,0.001,2.0618,heat,yes,desiccation
54,N56,D,tank_2,2,98,54,34,7/13/21,94210,4.228,D-desiccation,0.318,0.423,0.105,5.665,0.8147,373.7333,0.0004,6.7368,heat,yes,desiccation
55,N57,D,tank_2,2,94,61,42,7/13/21,126097,5.50348,D-desiccation,0.2132,0.3212,0.108,5.764,0.8717,504.8333,0.0005,5.0745,heat,yes,desiccation
56,N58,D,tank_2,2,88,54,30,7/13/21,74644,3.44536,D-desiccation,0.304,0.4,0.096,5.368,0.91,593,0.0006,4.0232,heat,yes,desiccation
57,N59,D,tank_2,2,94,52,28,7/13/21,71662,3.32608,D-desiccation,0.1647,0.1963,0.0317,3.245,0.9727,737.1333,0.0007,1.9565,heat,yes,desiccation
7,M41,D,tank_2,1,74,59,30,7/12/21,68581,3.20284,D-heat,0.2065,0.2878,0.0813,4.884,1.178,1209.4,0.0012,1.7948,heat,no,heat
8,M42,D,tank_2,1,78,52,31,7/12/21,65835,3.093,D-heat,0.371,0.4627,0.0917,5.225,1.1333,1106.6667,0.0011,2.0984,heat,no,heat
9,M43,D,tank_2,1,90,49,26,7/12/21,60036,2.86104,D-heat,0.4933,0.5443,0.051,3.883,1.0637,946.4333,0.0009,1.8235,heat,no,heat
12,M47,D,tank_3,1,82,50,27,7/12/21,57962,2.77808,D-heat,0.1807,0.236,0.0553,4.026,0.999,797.7,0.0008,2.2431,heat,no,heat
17,N41,D,tank_2,1,95,53,27,7/12/21,71181,3.30684,D-heat,0.1832,0.2279,0.0447,3.6751,0.9465,676.95,0.0007,2.4128,heat,no,heat
18,N42,D,tank_2,1,85,61,33,7/12/21,89590,4.0432,D-heat,0.1927,0.2303,0.0377,3.443,1.182,1218.6,0.0012,1.2557,heat,no,heat
19,N43,D,tank_2,1,93,48,27,7/12/21,63108,2.98392,D-heat,0.1273,0.147,0.0197,2.849,0.874,510.2,0.0005,2.4818,heat,no,heat
20,N44,D,tank_2,1,91,50,32,7/12/21,76236,3.50904,D-heat,0.1847,0.2197,0.035,3.355,0.9839,762.9444,0.0008,1.9544,heat,no,heat
21,N45,D,tank_2,1,92,49,30,7/12/21,70811,3.29204,D-heat,0.1308,0.1739,0.0431,3.6227,0.8867,539.3333,0.0005,2.9853,heat,no,heat
22,N46,D,tank_2,1,93,55,30,7/12/21,80346,3.67344,D-heat,0.1456,0.175,0.0294,3.1717,0.8637,486.4333,0.0005,2.8979,heat,no,heat
23,N47,D,tank_2,1,99,56,32,7/12/21,92891,4.17524,D-heat,0.1876,0.2068,0.0192,2.8336,1.0022,804.9833,0.0008,1.5645,heat,no,heat
31,T55,T,tank_6,1,79,51,26,7/12/21,54849,2.65356,T-control,0.1907,0.2177,0.027,3.091,1.0143,832.9667,0.0008,1.6493,control,no,control
32,T56,T,tank_6,1,83,65,32,7/12/21,90394,4.07536,T-control,0.2162,0.2808,0.0647,4.334,1.054,924.2,0.0009,2.0842,control,no,control
33,T57,T,tank_6,1,79,58,30,7/12/21,71974,3.33856,T-control,0.2343,0.255,0.0207,2.882,0.983,760.9,0.0008,1.6834,control,no,control
34,T58,T,tank_6,1,63,61,26,7/12/21,52317,2.55228,T-control,0.3925,0.4518,0.0593,4.158,1.2152,1294.8833,0.0013,1.4272,control,no,control
35,T59,T,tank_6,1,89,74,35,7/12/21,120695,5.2874,T-control,0.2861,0.3162,0.0301,3.1937,1.105,1041.5,0.001,1.3628,control,no,control
36,T61,T,tank_6,1,80,52,35,7/12/21,76236,3.50904,T-control,0.3768,0.4296,0.0528,3.9435,1.154,1154.2,0.0012,1.5185,control,no,control
37,T62,T,tank_6,1,84,57,35,7/12/21,87745,3.9694,T-control,0.2208,0.2885,0.0677,4.433,1.101,1032.3,0.001,1.9086,control,no,control
42,X45,T,tank_6,1,83,52,30,7/12/21,67796,3.17144,T-control,0.2043,0.2257,0.0213,2.904,0.9877,771.6333,0.0008,1.6726,control,no,control
43,X46,T,tank_6,1,81,51,31,7/12/21,67053,3.14172,T-control,0.3607,0.4917,0.131,6.523,0.934,648.2,0.0006,4.4726,control,no,control
44,X47,T,tank_6,1,88,63,29,7/12/21,84182,3.82688,T-control,0.3223,0.3823,0.06,4.18,1.1521,1149.8556,0.0011,1.6157,control,no,control
45,X48,T,tank_6,1,66,51,30,7/12/21,52873,2.57452,T-control,0.3252,0.3583,0.0332,3.2945,1.1387,1118.9333,0.0011,1.3086,control,no,control
58,R51,T,tank_3,2,81,55,29,7/13/21,67646,3.16544,T-desiccation,0.3597,0.4435,0.0838,4.9665,1.1687,1187.9333,0.0012,1.8581,heat,yes,desiccation
59,R53,T,tank_3,2,72,42,28,7/13/21,44334,2.23296,T-desiccation,0.38,0.538,0.158,7.414,0.9687,727.9333,0.0007,4.5267,heat,yes,desiccation
60,R54,T,tank_3,2,87,66,31,7/13/21,93202,4.18768,T-desiccation,0.3027,0.3987,0.096,5.368,0.8113,366.0667,0.0004,6.5173,heat,yes,desiccation
61,R56,T,tank_3,2,74,51,32,7/13/21,63234,2.98896,T-desiccation,0.2987,0.3597,0.061,4.213,0.926,629.8,0.0006,2.9731,heat,yes,desiccation
62,R57,T,tank_3,2,93,80,38,7/13/21,148032,6.38088,T-desiccation,0.3987,0.4928,0.0941,5.3057,1.0525,920.75,0.0009,2.561,heat,yes,desiccation
63,R58,T,tank_3,2,99,65,36,7/13/21,121297,5.31148,T-desiccation,0.2227,0.2593,0.0367,3.41,1.0657,951.0333,0.001,1.5936,heat,yes,desiccation
64,R59,T,tank_3,2,80,76,27,7/13/21,85954,3.89776,T-desiccation,0.1925,0.2703,0.0778,4.7658,0.8622,482.9833,0.0005,4.3855,heat,yes,desiccation
65,R60,T,tank_3,2,73,53,29,7/13/21,58748,2.80952,T-desiccation,0.185,0.197,0.012,2.596,0.8068,355.7167,0.0004,3.2435,heat,yes,desiccation
66,R61,T,tank_3,2,80,62,26,7/13/21,67523,3.16052,T-desiccation,0.2315,0.3027,0.0712,4.5485,1.1073,1046.8667,0.001,1.9311,heat,yes,desiccation
67,R62,T,tank_3,2,91,76,35,7/13/21,126742,5.52928,T-desiccation,0.212,0.2367,0.0247,3.014,0.8637,486.4333,0.0005,2.7538,heat,yes,desiccation
24,R42,T,tank_3,1,90,71,41,7/12/21,137178,5.94672,T-heat,0.2942,0.3112,0.017,2.761,0.9555,697.65,0.0007,1.7589,heat,no,heat
25,R46,T,tank_3,1,73,53,25,7/12/21,50645,2.4854,T-heat,0.168,0.2343,0.0663,4.389,0.8707,502.5333,0.0005,3.8817,heat,no,heat
26,R47,T,tank_3,1,87,56,32,7/12/21,81631,3.72484,T-heat,0.358,0.356,-0.002,2.134,1.2507,1376.5333,0.0014,0.689,heat,no,heat
27,R48,T,tank_3,1,96,74,36,7/12/21,133907,5.81588,T-heat,0.2107,0.2697,0.059,4.147,1.09,1007,0.001,1.8303,heat,no,heat
29,R50,T,tank_3,1,73,47,26,7/12/21,46708,2.32792,T-heat,0.2058,0.2494,0.0437,3.641,1.0407,893.5333,0.0009,1.811,heat,no,heat
30,R78,T,tank_3,1,78,55,33,7/12/21,74126,3.42464,T-heat,0.2887,0.319,0.0303,3.201,1.1637,1176.4333,0.0012,1.2093,heat,no,heat
38,X41,T,tank_3,1,95,75,39,7/12/21,145495,6.2794,T-heat,0.2647,0.298,0.0333,3.3,1.0137,831.4333,0.0008,1.764,heat,no,heat
39,X42,T,tank_3,1,93,71,45,7/12/21,155580,6.6828,T-heat,0.239,0.289,0.05,3.85,1.019,843.7,0.0008,2.0281,heat,no,heat
40,X43,T,tank_3,1,86,49,29,7/12/21,63987,3.01908,T-heat,0.277,0.3102,0.0332,3.2963,1.1016,1033.5778,0.001,1.4174,heat,no,heat
41,X44,T,tank_3,1,67,50,30,7/12/21,52622,2.56448,T-heat,0.1858,0.2377,0.0518,3.9105,1.0187,842.9333,0.0008,2.0618,heat,no,heat
