ID,Well,A,Plate
N45,D03,0.824,5
N45,D04,0.837,5
N45,D05,0.812,5
M47,D06,1.002,5
M47,D07,1.007,5
M47,D08,0.949,5
N49,D09,0.914,5
N49,D10,0.875,5
N49,D11,0.926,5
D58,D12,0.801,5
D58,E01,0.764,5
D58,E02,0.845,5
T59,E03,0.999,5
T59,E04,0.938,5
T59,E05,0.975,5
R57,E06,1.124,5
R57,E07,1.091,5
R57,E08,1.03,5
N41,E09,0.926,5
N41,E10,0.972,5
N41,E11,0.846,5
R61,E12,1.131,5
R61,F01,1.093,5
R61,F02,1.098,5
2000,A01,1.222,6
2000,A02,1.041,6
2000,A03,1.232,6
1500,A04,1.152,6
1500,A05,1.186,6
1500,A06,1.17,6
1000,A07,1.002,6
1000,A08,1.074,6
1000,A09,1.059,6
750,A10,0.907,6
750,A11,0.915,6
750,A12,0.922,6
500,B01,0.878,6
500,B02,0.851,6
500,B03,0.834,6
250,B04,0.759,6
250,B05,0.77,6
250,B06,0.754,6
125,B07,0.696,6
125,B08,0.704,6
125,B09,0.703,6
0,B10,0.618,6
0,B11,0.632,6
0,B12,0.644,6
X47,C01,0.91,6
X47,C02,1.007,6
X47,C03,0.936,6
T61,C04,1.043,6
T61,C05,1.067,6
T61,C06,1.113,6
X42,C07,1.06,6
X42,C08,0.893,6
X42,C09,1.032,6
N57,C10,1.069,6
N57,C11,0.912,6
N57,C12,1.038,6
X48,D01,1.23,6
X48,D02,1.121,6
X48,D03,1.102,6
R42,D04,0.9,6
R42,D05,0.859,6
R42,D06,1.026,6
X43,D07,1.075,6
X43,D08,1.113,6
X43,D09,1.018,6
X44,D10,0.807,6
X44,D11,0.921,6
X44,D12,0.98,6
D55,E01,1.049,6
D55,E02,1.076,6
D55,E03,1.091,6
M47,E04,0.943,6
M47,E05,0.772,6
M47,E06,0.946,6
N44,E07,1.068,6
N44,E08,1.07,6
N44,E09,1.089,6
D59,E10,1.049,6
D59,E11,1.074,6
D59,E12,1.016,6
R51,F01,1.176,6
R51,F02,1.293,6
R51,F03,1.037,6
T56,F04,1.097,6
T56,F05,1.271,6
T56,F06,1.2,6
R60,F07,0.789,6
R60,F08,0.97,6
R60,F09,0.712,6
M41,F10,1.258,6
M41,F11,1.187,6
M41,F12,1.213,6
R46,G01,0.849,6
R46,G02,0.688,6
R46,G03,0.71,6
M89,G04,1.055,6
M89,G05,1.147,6
M89,G06,1.22,6
T58,G07,1.294,6
T58,G08,1.22,6
T58,G09,1.151,6
R48,G10,1.127,6
R48,G11,1.219,6
R48,G12,1.014,6
T62,H01,1.083,6
T62,H02,1.04,6
T62,H04,0.994,6
