"","Label","follow","ploidy.follow","tank","day","ploidy.trt","X","shell_length","shell_width","shell_height","mortality","sample_date","dry_weight","shell_volume","calc_dry_weight","histology","tube_number","Round","meanA","OD","GSH","protein_a","protein_b","CS_activity","ploidy","trt_list","date","heat"
"32","T58","no","T-no","tank_6",1,"T-control","control_T_1",63,61,26,NA,"7/12/21",NA,52317,2.55228,"yes","",3,0.164,0.1905,5.2485,1514.4,0.0015144,1.117977097,"T","T-control","7/12/2022","control"
"33","T59","no","T-no","tank_6",1,"T-control","control_T_1",89,74,35,NA,"7/12/21",NA,120695,5.2874,"yes","",2,0.08,0.10033333,3.01366667,1123.88889,0.00112389,5.362926347,"T","T-control","7/11/2022","control"
"34","T61","no","T-no","tank_6",1,"T-control","control_T_1",80,52,35,NA,"7/12/21",NA,76236,3.50904,"yes","",2,0.131,0.13766667,4.54433333,1545.55556,0.00154556,2.940258807,"T","T-control","7/11/2022","control"
"35","T62","no","T-no","tank_6",1,"T-control","control_T_1",84,57,35,NA,"7/12/21",NA,87745,3.9694,"yes","",1,0.22033333,0.01,0.67,1401.61111,0.00140161,0.212453922,"T","T-control","3/22/2022","control"
"36","X41","no","T-no","tank_3",1,"T-heat_desiccation","heat_desiccation_T_1",95,75,39,NA,"7/12/21",NA,145495,6.2794,"yes","",1,0.26466667,0.03333333,2.91,982.388889,0.00098239,1.31651869,"T","T-heat","3/22/2022","heat"
"37","X42","no","T-no","tank_3",1,"T-heat_desiccation","heat_desiccation_T_1",93,71,45,NA,"7/12/21",NA,155580,6.6828,"yes","",1,0.21466667,0.00433333,0.126,964.111111,0.00096411,0.058084591,"T","T-heat","3/22/2022","heat"
"38","X43","no","T-no","tank_3",1,"T-heat_desiccation","heat_desiccation_T_1",86,49,29,NA,"7/12/21",NA,63987,3.01908,"yes","",1,0.24266667,0.01033333,0.702,1196.27778,0.00119628,0.260808991,"T","T-heat","3/22/2022","heat"
"39","X44","no","T-no","tank_3",1,"T-heat_desiccation","heat_desiccation_T_1",67,50,30,NA,"7/12/21",NA,52622,2.56448,"yes","",1,0.18066667,0.01266667,0.926,1264.33333,0.00126433,0.325511908,"T","T-heat","3/22/2022","heat"
"40","X45","no","T-no","tank_6",1,"T-control","control_T_1",83,52,30,NA,"7/12/21",NA,67796,3.17144,"yes","",1,0.20433333,0.02133333,1.758,874.666667,0.00087467,0.893292683,"T","T-control","3/22/2022","control"
"41","X46","no","T-no","tank_6",1,"T-control","control_T_1",81,51,31,NA,"7/12/21",NA,67053,3.14172,"yes","",1,0.36066667,0.131,12.286,717.166667,0.00071717,7.613912774,"T","T-control","3/22/2022","control"
"42","X47","no","T-no","tank_6",1,"T-control","control_T_1",88,63,29,NA,"7/12/21",NA,84182,3.82688,"yes","",1,0.38333333,0.01066667,0.734,1687.83333,0.00168783,0.193278694,"T","T-control","3/22/2022","control"
"43","X48","no","T-no","tank_6",1,"T-control","control_T_1",66,51,30,NA,"7/12/21",NA,52873,2.57452,"yes","",3,0.248,0.1015,1.9555,1321.8,0.0013218,0.477232903,"T","T-control","7/12/2022","control"
"45","N49","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",82,52,29,NA,"7/13/21",NA,64746,3.04944,"yes","",1,0.13333333,0.02133333,1.758,197.222222,0.00019722,3.961690141,"D","D-desiccation","3/22/2022","desiccation"
"46","N50","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",90,55,31,NA,"7/13/21",NA,80346,3.67344,"yes","",1,0.36066667,0.09766667,9.086,749.444444,0.00074944,5.38828762,"D","D-desiccation","3/22/2022","desiccation"
"47","N51","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",91,55,32,NA,"7/13/21",NA,83860,3.814,"yes","",1,0.24966667,0.066,6.046,617.416667,0.00061742,4.35218428,"D","D-desiccation","3/22/2022","desiccation"
"48","N52","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",72,59,32,NA,"7/13/21",NA,71176,3.30664,"yes","",1,0.328,0.10666667,9.95,879.722222,0.00087972,5.02683928,"D","D-desiccation","3/22/2022","desiccation"
"49","N53","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",80,56,28,NA,"7/13/21",NA,65680,3.0868,"yes","",1,0.38966667,0.133,12.478,1245.66667,0.00124567,4.452056016,"D","D-desiccation","3/22/2022","desiccation"
"50","N54","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",103,56,37,NA,"7/13/21",NA,111744,4.92936,"yes","",1,0.34,0.102,9.502,1263.16667,0.00126317,3.343273079,"D","D-desiccation","3/22/2022","desiccation"
"51","N55","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",83,54,35,NA,"7/13/21",NA,82137,3.74508,"yes","",1,0.329,0.07866667,7.262,1207.55556,0.00120756,2.672800883,"D","D-desiccation","3/22/2022","desiccation"
"52","N56","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",98,54,34,NA,"7/13/21",NA,94210,4.228,"yes","",1,0.318,0.105,9.79,338,0.000338,12.8731098,"D","D-desiccation","3/22/2022","desiccation"
"53","N57","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",94,61,42,NA,"7/13/21",NA,126097,5.50348,"yes","",1,0.26966667,0.06583333,6.03,767.333333,0.00076733,3.492615117,"D","D-desiccation","3/22/2022","desiccation"
"54","N58","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",88,54,30,NA,"7/13/21",NA,74644,3.44536,"yes","",1,0.304,0.096,8.926,746.722222,0.00074672,5.312699948,"D","D-desiccation","3/22/2022","desiccation"
"55","N59","no","D-no","tank_2",2,"D-heat_desiccation","heat_desiccation_D_2",94,52,28,NA,"7/13/21",NA,71662,3.32608,"yes","",1,0.16466667,0.03166667,2.75,826.833333,0.00082683,1.4781966,"D","D-desiccation","3/22/2022","desiccation"
"56","R52","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",80,57,30,NA,"7/13/21",NA,71628,3.32472,"yes","",1,0.25966667,0.091,8.446,877,0.000877,4.280248321,"T","T-desiccation","3/22/2022","desiccation"
"57","R53","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",72,42,28,NA,"7/13/21",NA,44334,2.23296,"yes","",1,0.38,0.158,14.878,245.833333,0.00024583,26.8980791,"T","T-desiccation","3/22/2022","desiccation"
"58","R54","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",87,66,31,NA,"7/13/21",NA,93202,4.18768,"yes","",1,0.30266667,0.096,8.926,259.833333,0.00025983,15.26790678,"T","T-desiccation","3/22/2022","desiccation"
"59","R56","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",74,51,32,NA,"7/13/21",NA,63234,2.98896,"yes","",1,0.29866667,0.061,5.566,695,0.000695,3.559392486,"T","T-desiccation","3/22/2022","desiccation"
"60","R57","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",93,80,38,NA,"7/13/21",NA,148032,6.38088,"yes","",1,0.55,0.12166667,11.39,1085.44444,0.00108544,4.663732214,"T","T-desiccation","3/22/2022","desiccation"
"61","R58","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",99,65,36,NA,"7/13/21",NA,121297,5.31148,"yes","",1,0.22266667,0.03666667,3.23,1160.11111,0.00116011,1.237429365,"T","T-desiccation","3/22/2022","desiccation"
"62","R59","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",80,76,27,NA,"7/13/21",NA,85954,3.89776,"yes","",2,0.07866667,0.123,3.943,1116.94444,0.00111694,7.06033325,"T","T-desiccation","7/11/2022","desiccation"
"63","R60","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",73,53,29,NA,"7/13/21",NA,58748,2.80952,"yes","",1,0.14766667,0.02233333,1.854,86.7777778,8.68e-05,9.495518566,"T","T-desiccation","3/22/2022","desiccation"
"64","R61","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",80,62,26,NA,"7/13/21",NA,67523,3.16052,"yes","",2,0.09633333,0.11133333,3.46466667,1432.5,0.0014325,4.837230948,"T","T-desiccation","7/11/2022","desiccation"
"65","R62","no","T-no","tank_3",2,"T-heat_desiccation","heat_desiccation_T_2",91,76,35,NA,"7/13/21",NA,126742,5.52928,"yes","",1,0.212,0.02466667,2.078,427.055556,0.00042706,2.162612202,"T","T-desiccation","3/22/2022","desiccation"
